crater_id,center_row,center_col,x_polar_m,y_polar_m,dist_from_pole_km,elevation_m,size_pixels,area_km2
267,297,1244,39560.0,36200.0,53.62,-3941.9,1,0.0064
306,319,1178,34280.0,34440.0,48.59,-3941.0,1,0.0064
234,273,1203,36280.0,38120.0,52.62,-3940.9,1,0.0064
273,301,1225,38040.0,35880.0,52.29,-3940.7,1,0.0064
300,313,1203,36280.0,34920.0,50.36,-3940.3,1,0.0064
311,321,1265,41240.0,34280.0,53.63,-3940.3,1,0.0064
266,297,1144,31560.0,36200.0,48.03,-3940.2,1,0.0064
203,246,1226,38120.0,40280.0,55.46,-3940.1,1,0.0064
344,352,1174,33960.0,31800.0,46.52,-3940.1,1,0.0064
320,328,1260,40840.0,33720.0,52.96,-3940.0,1,0.0064
117,197,1283,42680.0,44200.0,61.44,-3939.1,1,0.0064
147,215,1234,38760.0,42760.0,57.71,-3938.8,1,0.0064
167,224,1297,43800.0,42040.0,60.71,-3938.6,1,0.0064
301,313,1265,41240.0,34920.0,54.04,-3938.4,1,0.0064
331,340,1271,41720.0,32760.0,53.05,-3938.1,1,0.0064
137,210,1164,33160.0,43160.0,54.43,-3937.9,1,0.0064
295,310,1188,35080.0,35160.0,49.67,-3936.7,1,0.0064
258,288,1238,39080.0,36920.0,53.76,-3936.1,1,0.0064
210,254,1226,38120.0,39640.0,55.0,-3935.9,1,0.0064
246,281,1121,29720.0,37480.0,47.83,-3935.1,1,0.0064
129,204,1278,42280.0,43640.0,60.76,-3934.9,1,0.0064
252,283,1148,31880.0,37320.0,49.08,-3934.5,1,0.0064
285,306,1204,36360.0,35480.0,50.8,-3934.5,1,0.0064
128,204,1264,41160.0,43640.0,59.99,-3934.1,1,0.0064
174,228,1192,35400.0,41720.0,54.71,-3933.9,1,0.0064
177,230,1212,37000.0,41560.0,55.64,-3933.3,1,0.0064
349,359,1168,33480.0,31240.0,45.79,-3933.1,1,0.0064
187,237,1138,31080.0,41000.0,51.45,-3932.9,1,0.0064
209,251,1181,34520.0,39880.0,52.75,-3932.5,1,0.0064
111,194,1292,43400.0,44440.0,62.12,-3932.4,1,0.0064
276,303,1198,35880.0,35720.0,50.63,-3932.2,1,0.0064
123,202,1161,32920.0,43800.0,54.79,-3932.1,1,0.0064
235,273,1212,37000.0,38120.0,53.12,-3931.7,1,0.0064
272,299,1270,41640.0,36040.0,55.07,-3931.6,1,0.0064
98,185,1281,42520.0,45160.0,62.03,-3930.2,1,0.0064
261,290,1269,41560.0,36760.0,55.48,-3930.1,1,0.0064
90,182,1276,42120.0,45400.0,61.93,-3929.8,1,0.0064
194,240,1191,35320.0,40760.0,53.93,-3929.8,1,0.0064
102,187,1287,43000.0,45000.0,62.24,-3929.4,1,0.0064
215,258,1196,35720.0,39320.0,53.12,-3929.3,1,0.0064
229,268,1213,37080.0,38520.0,53.47,-3929.2,1,0.0064
124,202,1323,45880.0,43800.0,63.43,-3929.0,1,0.0064
244,279,1212,37000.0,37640.0,52.78,-3928.8,1,0.0064
131,206,1211,36920.0,43480.0,57.04,-3928.7,1,0.0064
192,239,1124,29960.0,40840.0,50.65,-3928.3,1,0.0064
259,289,1123,29880.0,36840.0,47.43,-3927.9,1,0.0064
120,200,1183,34680.0,43960.0,55.99,-3927.6,1,0.0064
85,179,1243,39480.0,45640.0,60.35,-3927.4,1,0.0064
327,337,1282,42600.0,33000.0,53.89,-3926.7,1,0.0064
