crater_id,center_row,center_col,x_polar_m,y_polar_m,dist_from_pole_km,elevation_m,size_pixels,area_km2,VOL,ODD,EVN,HELIX,
273,301,1225,38040,35880,52.29,-3940.7,1,0.0064,,,,,
300,313,1203,36280,34920,50.36,-3940.3,1,0.0064,,,,,
311,321,1265,41240,34280,53.63,-3940.3,1,0.0064,,,,,
266,297,1144,31560,36200,48.03,-3940.2,1,0.0064,,,,,
203,246,1226,38120,40280,55.46,-3940.1,1,0.0064,,,,,
344,352,1174,33960,31800,46.52,-3940.1,1,0.0064,,,,,
320,328,1260,40840,33720,52.96,-3940,1,0.0064,,,,,
117,197,1283,42680,44200,61.44,-3939.1,1,0.0064,,,,,
147,215,1234,38760,42760,57.71,-3938.8,1,0.0064,,,,,
167,224,1297,43800,42040,60.71,-3938.6,1,0.0064,,,,,
301,313,1265,41240,34920,54.04,-3938.4,1,0.0064,,,,,
331,340,1271,41720,32760,53.05,-3938.1,1,0.0064,,,,,
137,210,1164,33160,43160,54.43,-3937.9,1,0.0064,8.60E-11,1.09E-10,5.39E-12,7.75E-12,
295,310,1188,35080,35160,49.67,-3936.7,1,0.0064,,,,,
258,288,1238,39080,36920,53.76,-3936.1,1,0.0064,,,,,
210,254,1226,38120,39640,55,-3935.9,1,0.0064,,,,,
246,281,1121,29720,37480,47.83,-3935.1,1,0.0064,,,,,
129,204,1278,42280,43640,60.76,-3934.9,1,0.0064,,,,,
252,283,1148,31880,37320,49.08,-3934.5,1,0.0064,,,,,
285,306,1204,36360,35480,50.8,-3934.5,1,0.0064,,,,,
128,204,1264,41160,43640,59.99,-3934.1,1,0.0064,,,,,
174,228,1192,35400,41720,54.71,-3933.9,1,0.0064,,,,,
177,230,1212,37000,41560,55.64,-3933.3,1,0.0064,,,,,
349,359,1168,33480,31240,45.79,-3933.1,1,0.0064,,,,,
187,237,1138,31080,41000,51.45,-3932.9,1,0.0064,5.27E-11,1.32E-10,1.03E-11,1.22E-11,
209,251,1181,34520,39880,52.75,-3932.5,1,0.0064,,,,,
111,194,1292,43400,44440,62.12,-3932.4,1,0.0064,,,,,
276,303,1198,35880,35720,50.63,-3932.2,1,0.0064,,,,,
123,202,1161,32920,43800,54.79,-3932.1,1,0.0064,7.94E-11,1.09E-10,3.06E-12,1.28E-11,
235,273,1212,37000,38120,53.12,-3931.7,1,0.0064,,,,,
272,299,1270,41640,36040,55.07,-3931.6,1,0.0064,,,,,
98,185,1281,42520,45160,62.03,-3930.2,1,0.0064,,,,,
261,290,1269,41560,36760,55.48,-3930.1,1,0.0064,,,,,
90,182,1276,42120,45400,61.93,-3929.8,1,0.0064,,,,,
194,240,1191,35320,40760,53.93,-3929.8,1,0.0064,,,,,
102,187,1287,43000,45000,62.24,-3929.4,1,0.0064,,,,,
215,258,1196,35720,39320,53.12,-3929.3,1,0.0064,,,,,
229,268,1213,37080,38520,53.47,-3929.2,1,0.0064,,,,,
124,202,1323,45880,43800,63.43,-3929,1,0.0064,,,,,
244,279,1212,37000,37640,52.78,-3928.8,1,0.0064,,,,,
131,206,1211,36920,43480,57.04,-3928.7,1,0.0064,,,,,
192,239,1124,29960,40840,50.65,-3928.3,1,0.0064,5.44E-11,1.27E-10,4.21E-12,1.16E-11,
