Rank,crater_id,center_row,center_col,x_polar_m,y_polar_m,dist_from_pole_km,elevation_m,size_pixels,area_km2,VOL,ODD,EVN,HELIX,IceIndex,Priority
238,278,304,102,-51800.0,35640.0,62.88,-1943.8,1,0.0064,6.303928212769705e-11,1.0124499849606392e-10,1.3513456846581118e-11,4.931937670760167e-12,0.5445760479534801,Medium Priority
239,152,218,1175,34040.0,42520.0,54.47,-3915.0,1,0.0064,9.71809646643784e-11,1.7395816731546887e-10,3.812439947070701e-12,1.0885520783376899e-11,0.5436070624387377,Medium Priority
240,189,238,1,-59880.0,40920.0,72.53,-1893.1,1,0.0064,1.5218137860983916e-10,2.403112431270671e-10,3.9265951601308296e-11,2.01853672665564e-11,0.5423868420851694,Medium Priority
241,136,209,1146,31720.0,43240.0,53.63,-3920.2,1,0.0064,6.372554567368738e-11,1.1036564023791939e-10,6.468249547086913e-12,3.782926662893038e-12,0.5408083004809376,Medium Priority
242,29,125,1330,46440.0,49960.0,68.21,-3771.1,1,0.0064,5.829299543069766e-11,9.60754115153506e-11,1.0830064275935136e-11,1.1387804761675556e-11,0.5402227737121502,Medium Priority
243,402,783,128,-49720.0,-2680.0,49.79,-2341.5,1,0.0064,7.874789015316351e-11,1.3193020287349808e-10,1.3006613147625856e-11,7.495669016033268e-12,0.5396026328391664,Medium Priority
244,382,745,108,-51320.0,360.0,51.32,-2319.7,1,0.0064,1.2591715170540138e-10,2.2395880983072648e-10,8.484445784828765e-12,1.3859057131082596e-11,0.539390831289499,Medium Priority
245,389,763,88,-52920.0,-1080.0,52.93,-2311.4,1,0.0064,1.2797900239558402e-10,2.2660888443493119e-10,9.855913828127338e-12,9.396175677800487e-12,0.5389388378053894,Medium Priority
246,497,1160,291,-36680.0,-32840.0,49.23,-2539.5,1,0.0064,2.9383395022675174e-11,4.709638928845905e-11,6.424775642055458e-12,2.743869801508092e-12,0.5389355686020901,Medium Priority
247,47,144,1294,43560.0,48440.0,65.15,-3875.9,1,0.0064,5.925886170654593e-11,1.0170974479306594e-10,7.693043251044696e-12,9.160737272917439e-12,0.5367514965552272,Medium Priority
248,776,1482,141,-48680.0,-58600.0,76.18,-1929.0,1,0.0064,7.447795158377346e-11,1.3588367930861267e-10,1.9455632851300697e-12,7.065646245169033e-12,0.5364716409331639,Medium Priority
249,255,286,89,-52840.0,37080.0,64.55,-1913.7,1,0.0064,7.870563922818262e-11,1.4081957822043023e-10,5.440261956202175e-12,5.897378939356823e-12,0.5344677756934837,Medium Priority
250,727,1372,395,-28360.0,-49800.0,57.31,-2945.7,1,0.0064,1.2833044349402909e-10,2.2332474758357527e-10,1.7179870373529305e-11,1.7030555785058077e-11,0.531378838962089,Medium Priority
251,38,137,90,-52760.0,49000.0,72.0,-4378.0,1,0.0064,9.625449742811654e-11,1.7519165285140303e-10,5.492955049146708e-12,6.370383821147074e-12,0.5297889487743738,Medium Priority
252,43,139,1199,35960.0,48840.0,60.65,-3873.2,1,0.0064,7.386338068959829e-11,1.2990930553513635e-10,8.615471183692769e-12,3.360286658302125e-12,0.5293925740404377,Medium Priority
253,504,1178,420,-26360.0,-34280.0,43.24,-2888.3,1,0.0064,4.379474907723058e-11,7.686420250285764e-11,4.894152791368178e-12,3.622373885223129e-12,0.5291882483832567,Medium Priority
254,777,1484,88,-52920.0,-58760.0,79.08,-1941.7,1,0.0064,8.314696153810529e-11,1.5355236526737315e-10,3.7493120587372974e-12,6.045712975383255e-12,0.5252437178338788,Medium Priority
255,770,1477,131,-49480.0,-58200.0,76.39,-1934.9,1,0.0064,8.223745989743847e-11,1.5075940495989926e-10,5.446844364431769e-12,6.9887979951832586e-12,0.5231182618432362,Medium Priority
256,405,786,154,-47640.0,-2920.0,47.73,-2305.4,1,0.0064,6.7249872337527e-11,1.1832926305466174e-10,9.830795899556932e-12,7.912592456249534e-12,0.5206708086233067,Medium Priority
257,672,1313,522,-18200.0,-45080.0,48.62,-2900.8,1,0.0064,9.943137285750579e-11,1.8350092279018068e-10,6.793914823083336e-12,1.369568954773248e-11,0.5197807431611078,Medium Priority
258,533,1204,463,-22920.0,-36360.0,42.98,-2868.7,1,0.0064,4.911820603026307e-11,9.005902273928612e-11,3.501532614205716e-12,2.732020339124564e-12,0.5194365224130347,Medium Priority
259,243,279,85,-53160.0,37640.0,65.14,-1903.0,1,0.0064,1.0479042633626534e-10,1.8482512742501456e-10,1.653015224700738e-11,8.078988866788706e-12,0.5178536804481207,Medium Priority
260,49,147,1248,39880.0,48200.0,62.56,-3891.3,1,0.0064,8.330066497697075e-11,1.5582765633403994e-10,4.3704124520760335e-12,6.313328332341328e-12,0.5167596957225176,Medium Priority
261,467,1110,348,-32120.0,-28840.0,43.17,-2492.0,1,0.0064,7.880800872994698e-11,1.3416887045814008e-10,1.809823645115837e-11,5.3532308794124176e-12,0.5141873577386997,Medium Priority
262,536,1206,247,-40200.0,-36520.0,54.31,-2558.7,1,0.0064,8.372346566032363e-11,1.5076304094030488e-10,1.1443652449261156e-11,1.6654979478891718e-11,0.5129903922535823,Medium Priority
263,615,1260,446,-24280.0,-40840.0,47.51,-2896.7,1,0.0064,9.188654004343988e-11,1.6088665122371282e-10,1.871223662130993e-11,6.549614149642391e-12,0.5087879617635875,Medium Priority
