crater_id,center_row,center_col,x_polar_m,y_polar_m,dist_from_pole_km,elevation_m,size_pixels,area_km2,VOL,ODD,EVN,HELIX
228,267,1399,51960.0,38600.0,64.73,-3877.2,1,0.0064,6.426630061451277e-11,1.0355563628827723e-10,4.56201352735941e-12,5.500560076865391e-12
50,149,1229,38360.0,48040.0,61.48,-3877.0,1,0.0064,9.27368737357881e-11,1.869030069601152e-10,4.303342404643473e-12,9.27120619859112e-12
47,144,1294,43560.0,48440.0,65.15,-3875.9,1,0.0064,5.925886170654593e-11,1.0170974479306594e-10,7.693043251044696e-12,9.160737272917439e-12
15,105,1236,38920.0,51560.0,64.6,-3874.2,1,0.0064,4.3393847543038426e-11,1.4878592802247678e-10,1.4347984605977969e-11,1.5865449579099966e-11
43,139,1199,35960.0,48840.0,60.65,-3873.2,1,0.0064,7.386338068959829e-11,1.2990930553513635e-10,8.615471183692769e-12,3.360286658302125e-12
46,143,1217,37400.0,48520.0,61.26,-3871.6,1,0.0064,6.932852208985095e-11,1.5439287348595343e-10,4.864567516166263e-12,5.302132431023177e-12
240,275,1403,52280.0,37960.0,64.61,-3871.6,1,0.0064,3.410015325666649e-11,4.938333769688441e-11,3.850413043959833e-12,3.2167818755923787e-12
45,142,1237,39000.0,48600.0,62.31,-3870.7,1,0.0064,5.8198029728728784e-11,1.5381282358895018e-10,4.505141051880379e-12,5.657321399538118e-12
39,137,1227,38200.0,49000.0,62.13,-3867.4,1,0.0064,5.938842473351967e-11,1.4507976764388528e-10,3.138613717881822e-12,4.252297732681987e-12
34,130,1212,37000.0,49560.0,61.85,-3865.4,1,0.0064,8.75913785947091e-11,1.086669851324551e-10,2.999104870698988e-12,1.2297399210048354e-11
196,242,1390,51240.0,40600.0,65.38,-3862.9,1,0.0064,4.774616813030264e-11,1.1663937871109198e-10,2.384290247875453e-12,3.922183324650552e-12
28,124,1212,37000.0,50040.0,62.23,-3851.2,1,0.0064,6.318014167394637e-11,1.6985989004236754e-10,4.316663346215499e-12,5.0534602544227694e-12
37,134,1181,34520.0,49240.0,60.13,-3848.4,1,0.0064,7.058079815047691e-11,1.0643402825749604e-10,1.7741858329700655e-11,1.2136951166308307e-11
17,106,1221,37720.0,51480.0,63.82,-3841.8,1,0.0064,1.048395398273172e-10,1.1255166243451241e-10,1.2950399433386828e-11,1.120722091518811e-11
59,159,1328,46280.0,47240.0,66.13,-3839.9,1,0.0064,5.946512726673348e-11,1.2736744992025706e-10,3.829604168503753e-12,6.0379062860604896e-12
25,122,1201,36120.0,50200.0,61.84,-3838.3,1,0.0064,7.242977745347545e-11,2.2127452647957566e-10,1.9452776195416632e-11,5.61931621026468e-12
11,95,1262,41000.0,52360.0,66.5,-3836.7,1,0.0064,6.388436307736001e-11,1.3597475922999536e-10,6.1643771684383175e-12,1.5572690706400216e-11
35,131,1190,35240.0,49480.0,60.75,-3835.5,1,0.0064,8.407312346303542e-11,8.849015270540049e-11,5.165961408648556e-12,7.531617690625936e-12
21,117,1226,38120.0,50600.0,63.35,-3835.2,1,0.0064,6.538006247502892e-11,1.7687706854729868e-10,5.8883943727938695e-12,9.296132440217429e-12
12,96,1248,39880.0,52280.0,65.75,-3834.1,1,0.0064,8.632465575697522e-11,9.454447641443764e-11,7.1098053659734975e-12,1.6201784705516253e-11
